technology,dst_region,region,agent,sector,type,year,capacity,,,,,,,,,,,,,,,,,,,
e_tec2,Western,Western,A2,residential,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,,
e_tec,Northwest,Northwest,A2,residential,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,,
e_tec2,Northwest,Northwest,A2,residential,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,,
e_tec,North,North,A2,residential,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,,
e_tec2,North,North,A2,residential,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,,
e_tec,Northeast,Northeast,A2,residential,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,,
e_tec2,Northeast,Northeast,A2,residential,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,,
e_tec,BajaCalif,BajaCalif,A2,residential,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,,
e_tec2,BajaCalif,BajaCalif,A2,residential,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,,
e_tec,BajaCalifSouth,BajaCalifSouth,A2,residential,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,,
e_tec2,BajaCalifSouth,BajaCalifSouth,A2,residential,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,,
e_tec,Peninsular,Peninsular,A2,residential,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,,
e_tec2,Peninsular,Peninsular,A2,residential,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,,
com_tec,Central,Central,A1,commercial,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,,
com_tec2,Central,Central,A1,commercial,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,,
com_tec,Eastern,Eastern,A1,commercial,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,,
com_tec2,Eastern,Eastern,A1,commercial,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,,
com_tec,Western,Western,A1,commercial,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,,
com_tec2,Western,Western,A1,commercial,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,,
com_tec,Northwest,Northwest,A1,commercial,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,,
com_tec2,Northwest,Northwest,A1,commercial,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,,
com_tec,North,North,A1,commercial,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,,
com_tec2,North,North,A1,commercial,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,,
com_tec,Northeast,Northeast,A1,commercial,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,,
com_tec2,Northeast,Northeast,A1,commercial,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,,
com_tec,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,,
com_tec2,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,,
com_tec,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,,
com_tec2,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,,
com_tec,Peninsular,Peninsular,A1,commercial,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,,
com_tec2,Peninsular,Peninsular,A1,commercial,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,,
com_tec,Central,Central,A2,commercial,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,,
com_tec2,Central,Central,A2,commercial,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,,
com_tec,Eastern,Eastern,A2,commercial,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,,
com_tec2,Eastern,Eastern,A2,commercial,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,,
com_tec,Western,Western,A2,commercial,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,,
com_tec2,Western,Western,A2,commercial,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,,
com_tec,Northwest,Northwest,A2,commercial,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,,
com_tec2,Northwest,Northwest,A2,commercial,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,,
com_tec,North,North,A2,commercial,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,,
com_tec2,North,North,A2,commercial,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,,
com_tec,Northeast,Northeast,A2,commercial,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,,
com_tec2,Northeast,Northeast,A2,commercial,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,,
com_tec,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,,
com_tec2,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,,
com_tec,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,,
com_tec2,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,,
com_tec,Peninsular,Peninsular,A2,commercial,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,,
com_tec2,Peninsular,Peninsular,A2,commercial,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,,
indr_tec,Central,Central,A1,industry,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,,
indr_tec2,Central,Central,A1,industry,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,,
indr_tec,Eastern,Eastern,A1,industry,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,,
indr_tec2,Eastern,Eastern,A1,industry,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,,
indr_tec,Western,Western,A1,industry,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,,
indr_tec2,Western,Western,A1,industry,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,,
indr_tec,Northwest,Northwest,A1,industry,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,,
indr_tec2,Northwest,Northwest,A1,industry,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,,
indr_tec,North,North,A1,industry,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,,
indr_tec2,North,North,A1,industry,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,,
indr_tec,Northeast,Northeast,A1,industry,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,,
indr_tec2,Northeast,Northeast,A1,industry,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,,
indr_tec,BajaCalif,BajaCalif,A1,industry,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,,
indr_tec2,BajaCalif,BajaCalif,A1,industry,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,,
indr_tec,BajaCalifSouth,BajaCalifSouth,A1,industry,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,,
indr_tec2,BajaCalifSouth,BajaCalifSouth,A1,industry,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,,
indr_tec,Peninsular,Peninsular,A1,industry,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,,
indr_tec2,Peninsular,Peninsular,A1,industry,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,,
indr_tec,Central,Central,A2,industry,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,,
indr_tec2,Central,Central,A2,industry,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,,
indr_tec,Eastern,Eastern,A2,industry,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,,
indr_tec2,Eastern,Eastern,A2,industry,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,,
indr_tec,Western,Western,A2,industry,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,,
indr_tec2,Western,Western,A2,industry,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,,
indr_tec,Northwest,Northwest,A2,industry,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,,
indr_tec2,Northwest,Northwest,A2,industry,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,,
indr_tec,North,North,A2,industry,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,,
indr_tec2,North,North,A2,industry,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,,
indr_tec,Northeast,Northeast,A2,industry,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,,
indr_tec2,Northeast,Northeast,A2,industry,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,,
indr_tec,BajaCalif,BajaCalif,A2,industry,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,,
indr_tec2,BajaCalif,BajaCalif,A2,industry,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,,
indr_tec,BajaCalifSouth,BajaCalifSouth,A2,industry,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,,
indr_tec2,BajaCalifSouth,BajaCalifSouth,A2,industry,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,,
indr_tec,Peninsular,Peninsular,A2,industry,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,,
indr_tec2,Peninsular,Peninsular,A2,industry,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,,
cars_gsl,Central,Central,A1,transport,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,,
cars_hyd,Central,Central,A1,transport,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,,
cars_gsl,Eastern,Eastern,A1,transport,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,,
cars_hyd,Eastern,Eastern,A1,transport,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,,
cars_gsl,Western,Western,A1,transport,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,,
cars_hyd,Western,Western,A1,transport,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,,
cars_gsl,Northwest,Northwest,A1,transport,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,,
cars_hyd,Northwest,Northwest,A1,transport,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,,
cars_gsl,North,North,A1,transport,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,,
cars_hyd,North,North,A1,transport,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,,
cars_gsl,Northeast,Northeast,A1,transport,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,,
cars_hyd,Northeast,Northeast,A1,transport,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,,
cars_gsl,BajaCalif,BajaCalif,A1,transport,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,,
cars_hyd,BajaCalif,BajaCalif,A1,transport,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,,
cars_gsl,BajaCalifSouth,BajaCalifSouth,A1,transport,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,,
cars_hyd,BajaCalifSouth,BajaCalifSouth,A1,transport,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,,
cars_gsl,Peninsular,Peninsular,A1,transport,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,,
cars_hyd,Peninsular,Peninsular,A1,transport,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,,
cars_gsl,Central,Central,A2,transport,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,,
cars_hyd,Central,Central,A2,transport,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,,
cars_gsl,Eastern,Eastern,A2,transport,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,,
cars_hyd,Eastern,Eastern,A2,transport,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,,
cars_gsl,Western,Western,A2,transport,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,,
cars_hyd,Western,Western,A2,transport,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,,
cars_gsl,Northwest,Northwest,A2,transport,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,,
cars_hyd,Northwest,Northwest,A2,transport,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,,
cars_gsl,North,North,A2,transport,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,,
cars_hyd,North,North,A2,transport,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,,
cars_gsl,Northeast,Northeast,A2,transport,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,,
cars_hyd,Northeast,Northeast,A2,transport,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,,
cars_gsl,BajaCalif,BajaCalif,A2,transport,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,,
cars_hyd,BajaCalif,BajaCalif,A2,transport,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,,
cars_gsl,BajaCalifSouth,BajaCalifSouth,A2,transport,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,,
cars_hyd,BajaCalifSouth,BajaCalifSouth,A2,transport,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,,
cars_gsl,Peninsular,Peninsular,A2,transport,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,,
cars_hyd,Peninsular,Peninsular,A2,transport,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,,
agr_tec,Central,Central,A1,agriculture,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,,
agr_tec2,Central,Central,A1,agriculture,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,,
agr_tec,Eastern,Eastern,A1,agriculture,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,,
agr_tec2,Eastern,Eastern,A1,agriculture,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,,
agr_tec,Western,Western,A1,agriculture,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,,
agr_tec2,Western,Western,A1,agriculture,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,,
agr_tec,Northwest,Northwest,A1,agriculture,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,,
agr_tec2,Northwest,Northwest,A1,agriculture,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,,
agr_tec,North,North,A1,agriculture,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,,
agr_tec2,North,North,A1,agriculture,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,,
agr_tec,Northeast,Northeast,A1,agriculture,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,,
agr_tec2,Northeast,Northeast,A1,agriculture,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,,
agr_tec,BajaCalif,BajaCalif,A1,agriculture,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,,
agr_tec2,BajaCalif,BajaCalif,A1,agriculture,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,,
agr_tec,BajaCalifSouth,BajaCalifSouth,A1,agriculture,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,,
agr_tec2,BajaCalifSouth,BajaCalifSouth,A1,agriculture,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,,
agr_tec,Peninsular,Peninsular,A1,agriculture,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,,
agr_tec2,Peninsular,Peninsular,A1,agriculture,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,,
agr_tec,Central,Central,A2,agriculture,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,,
agr_tec2,Central,Central,A2,agriculture,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,,
agr_tec,Eastern,Eastern,A2,agriculture,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,,
agr_tec2,Eastern,Eastern,A2,agriculture,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,,
agr_tec,Western,Western,A2,agriculture,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,,
agr_tec2,Western,Western,A2,agriculture,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,,
agr_tec,Northwest,Northwest,A2,agriculture,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,,
agr_tec2,Northwest,Northwest,A2,agriculture,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,,
agr_tec,North,North,A2,agriculture,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,,
agr_tec2,North,North,A2,agriculture,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,,
agr_tec,Northeast,Northeast,A2,agriculture,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,,
agr_tec2,Northeast,Northeast,A2,agriculture,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,,
agr_tec,BajaCalif,BajaCalif,A2,agriculture,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,,
agr_tec2,BajaCalif,BajaCalif,A2,agriculture,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,,
agr_tec,BajaCalifSouth,BajaCalifSouth,A2,agriculture,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,,
agr_tec2,BajaCalifSouth,BajaCalifSouth,A2,agriculture,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,,
agr_tec,Peninsular,Peninsular,A2,agriculture,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,,
agr_tec2,Peninsular,Peninsular,A2,agriculture,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,,
BIO,Central,Central,A1,power,agent,2020,0.0315,,,,,,,,,,,,,,,,,,,
GAS_GT,Central,Central,A1,power,agent,2020,131.7259,,,,,,,,,,,,,,,,,,,
GAS_GT,Eastern,Central,A1,power,agent,2020,35.6924,,,,,,,,,,,,,,,,,,,
GAS_GT,Western,Central,A1,power,agent,2020,42.6682,,,,,,,,,,,,,,,,,,,
GEOTH,Eastern,Central,A1,power,agent,2020,0.0001,,,,,,,,,,,,,,,,,,,
HYD,Central,Central,A1,power,agent,2020,2.5544,,,,,,,,,,,,,,,,,,,
OIL,Central,Central,A1,power,agent,2020,4.352,,,,,,,,,,,,,,,,,,,
PV_GND,Central,Central,A1,power,agent,2020,0.6623,,,,,,,,,,,,,,,,,,,
BIO,Eastern,Eastern,A1,power,agent,2020,5.2034,,,,,,,,,,,,,,,,,,,
GAS_GT,Eastern,Eastern,A1,power,agent,2020,142.7698,,,,,,,,,,,,,,,,,,,
GAS_GT,Peninsular,Eastern,A1,power,agent,2020,27.8936,,,,,,,,,,,,,,,,,,,
HYD,Eastern,Eastern,A1,power,agent,2020,211.0074,,,,,,,,,,,,,,,,,,,
NUCL,Eastern,Eastern,A1,power,agent,2020,51.0883,,,,,,,,,,,,,,,,,,,
OIL,Eastern,Eastern,A1,power,agent,2020,9.2085,,,,,,,,,,,,,,,,,,,
WIND_ON,Eastern,Eastern,A1,power,agent,2020,87.2916,,,,,,,,,,,,,,,,,,,
BIO,Western,Western,A1,power,agent,2020,1.2614,,,,,,,,,,,,,,,,,,,
COAL,Western,Western,A1,power,agent,2020,105.6456,,,,,,,,,,,,,,,,,,,
GAS_GT,Western,Western,A1,power,agent,2020,170.6728,,,,,,,,,,,,,,,,,,,
GAS_GT,Northwest,Western,A1,power,agent,2020,36.8277,,,,,,,,,,,,,,,,,,,
GEOTH,Western,Western,A1,power,agent,2020,9.9338,,,,,,,,,,,,,,,,,,,
HYD,Western,Western,A1,power,agent,2020,154.9364,,,,,,,,,,,,,,,,,,,
OIL,Western,Western,A1,power,agent,2020,26.0487,,,,,,,,,,,,,,,,,,,
PV_GND,Western,Western,A1,power,agent,2020,24.2827,,,,,,,,,,,,,,,,,,,
WIND_ON,Western,Western,A1,power,agent,2020,32.4821,,,,,,,,,,,,,,,,,,,
GAS_GT,Northwest,Northwest,A1,power,agent,2020,147.311,,,,,,,,,,,,,,,,,,,
GAS_GT,North,Northwest,A1,power,agent,2020,41.3815,,,,,,,,,,,,,,,,,,,
HYD,Northwest,Northwest,A1,power,agent,2020,30.2746,,,,,,,,,,,,,,,,,,,
OIL,Northwest,Northwest,A1,power,agent,2020,1.766,,,,,,,,,,,,,,,,,,,
PV_GND,Northwest,Northwest,A1,power,agent,2020,14.3804,,,,,,,,,,,,,,,,,,,
WIND_ON,Northwest,Northwest,A1,power,agent,2020,0.0631,,,,,,,,,,,,,,,,,,,
BIO,North,North,A1,power,agent,2020,0.2838,,,,,,,,,,,,,,,,,,,
GAS_GT,North,North,A1,power,agent,2020,137.9385,,,,,,,,,,,,,,,,,,,
HYD,North,North,A1,power,agent,2020,0.883,,,,,,,,,,,,,,,,,,,
OIL,North,North,A1,power,agent,2020,3.6266,,,,,,,,,,,,,,,,,,,
PV_GND,North,North,A1,power,agent,2020,35.7934,,,,,,,,,,,,,,,,,,,
BIO,Northeast,Northeast,A1,power,agent,2020,0.5992,,,,,,,,,,,,,,,,,,,
COAL,Northeast,Northeast,A1,power,agent,2020,41.6275,,,,,,,,,,,,,,,,,,,
GAS_GT,Northeast,Northeast,A1,power,agent,2020,452.8254,,,,,,,,,,,,,,,,,,,
HYD,Northeast,Northeast,A1,power,agent,2020,3.7212,,,,,,,,,,,,,,,,,,,
OIL,Northeast,Northeast,A1,power,agent,2020,7.0641,,,,,,,,,,,,,,,,,,,
PV_GND,Northeast,Northeast,A1,power,agent,2020,14.6327,,,,,,,,,,,,,,,,,,,
WIND_ON,Northeast,Northeast,A1,power,agent,2020,79.5338,,,,,,,,,,,,,,,,,,,
GAS_GT,BajaCalif,BajaCalif,A1,power,agent,2020,70.9245,,,,,,,,,,,,,,,,,,,
GEOTH,BajaCalif,BajaCalif,A1,power,agent,2020,17.0294,,,,,,,,,,,,,,,,,,,
OIL,BajaCalif,BajaCalif,A1,power,agent,2020,0.0631,,,,,,,,,,,,,,,,,,,
PV_GND,BajaCalif,BajaCalif,A1,power,agent,2020,0.2208,,,,,,,,,,,,,,,,,,,
WIND_ON,BajaCalif,BajaCalif,A1,power,agent,2020,0.3154,,,,,,,,,,,,,,,,,,,
GAS_GT,BajaCalifSouth,BajaCalifSouth,A1,power,agent,2020,3.5636,,,,,,,,,,,,,,,,,,,
OIL,BajaCalifSouth,BajaCalifSouth,A1,power,agent,2020,14.9796,,,,,,,,,,,,,,,,,,,
PV_GND,BajaCalifSouth,BajaCalifSouth,A1,power,agent,2020,2.6175,,,,,,,,,,,,,,,,,,,
WIND_ON,BajaCalifSouth,BajaCalifSouth,A1,power,agent,2020,1.5768,,,,,,,,,,,,,,,,,,,
GAS_GT,Peninsular,Peninsular,A1,power,agent,2020,27.8936,,,,,,,,,,,,,,,,,,,
OIL,Peninsular,Peninsular,A1,power,agent,2020,0.5046,,,,,,,,,,,,,,,,,,,
PV_GND,Peninsular,Peninsular,A1,power,agent,2020,21.9491,,,,,,,,,,,,,,,,,,,
PV_RFT,Peninsular,Peninsular,A1,power,agent,2020,0.1892,,,,,,,,,,,,,,,,,,,
WIND_ON,Peninsular,Peninsular,A1,power,agent,2020,8.0732,,,,,,,,,,,,,,,,,,,
BIO,Central,Central,A2,power,agent,2020,0.0315,,,,,,,,,,,,,,,,,,,
GAS_GT,Central,Central,A2,power,agent,2020,131.7259,,,,,,,,,,,,,,,,,,,
GAS_GT,Eastern,Central,A2,power,agent,2020,35.6924,,,,,,,,,,,,,,,,,,,
GAS_GT,Western,Central,A2,power,agent,2020,42.6682,,,,,,,,,,,,,,,,,,,
GEOTH,Eastern,Central,A2,power,agent,2020,0.0001,,,,,,,,,,,,,,,,,,,
HYD,Central,Central,A2,power,agent,2020,2.5544,,,,,,,,,,,,,,,,,,,
OIL,Central,Central,A2,power,agent,2020,4.352,,,,,,,,,,,,,,,,,,,
PV_GND,Central,Central,A2,power,agent,2020,0.6623,,,,,,,,,,,,,,,,,,,
BIO,Eastern,Eastern,A2,power,agent,2020,5.2034,,,,,,,,,,,,,,,,,,,
GAS_GT,Eastern,Eastern,A2,power,agent,2020,142.7698,,,,,,,,,,,,,,,,,,,
GAS_GT,Peninsular,Eastern,A2,power,agent,2020,27.8936,,,,,,,,,,,,,,,,,,,
HYD,Eastern,Eastern,A2,power,agent,2020,211.0074,,,,,,,,,,,,,,,,,,,
NUCL,Eastern,Eastern,A2,power,agent,2020,51.0883,,,,,,,,,,,,,,,,,,,
OIL,Eastern,Eastern,A2,power,agent,2020,9.2085,,,,,,,,,,,,,,,,,,,
WIND_ON,Eastern,Eastern,A2,power,agent,2020,87.2916,,,,,,,,,,,,,,,,,,,
BIO,Western,Western,A2,power,agent,2020,1.2614,,,,,,,,,,,,,,,,,,,
