technology,dst_region,region,agent,sector,type,year,capacity,,sector,power,,,,,,,,,,,,,,,
com_tec,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,
com_tec2,BajaCalif,BajaCalif,A1,commercial,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,
com_tec,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,
com_tec2,BajaCalifSouth,BajaCalifSouth,A1,commercial,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,
com_tec,Peninsular,Peninsular,A1,commercial,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,
com_tec2,Peninsular,Peninsular,A1,commercial,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,
com_tec,Central,Central,A2,commercial,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,
com_tec2,Central,Central,A2,commercial,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,
com_tec,Eastern,Eastern,A2,commercial,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,
com_tec2,Eastern,Eastern,A2,commercial,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,
com_tec,Western,Western,A2,commercial,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,
com_tec2,Western,Western,A2,commercial,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,
com_tec,Northwest,Northwest,A2,commercial,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,
com_tec2,Northwest,Northwest,A2,commercial,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,
com_tec,North,North,A2,commercial,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,
com_tec2,North,North,A2,commercial,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,
com_tec,Northeast,Northeast,A2,commercial,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,
com_tec2,Northeast,Northeast,A2,commercial,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,
com_tec,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,
com_tec2,BajaCalif,BajaCalif,A2,commercial,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,
com_tec,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,
com_tec2,BajaCalifSouth,BajaCalifSouth,A2,commercial,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,
com_tec,Peninsular,Peninsular,A2,commercial,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,
com_tec2,Peninsular,Peninsular,A2,commercial,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,
indr_tec,Central,Central,A1,industry,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,
indr_tec2,Central,Central,A1,industry,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,
indr_tec,Eastern,Eastern,A1,industry,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,
indr_tec2,Eastern,Eastern,A1,industry,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,
indr_tec,Western,Western,A1,industry,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,
indr_tec2,Western,Western,A1,industry,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,
indr_tec,Northwest,Northwest,A1,industry,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,
indr_tec2,Northwest,Northwest,A1,industry,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,
indr_tec,North,North,A1,industry,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,
indr_tec2,North,North,A1,industry,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,
indr_tec,Northeast,Northeast,A1,industry,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,
indr_tec2,Northeast,Northeast,A1,industry,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,
indr_tec,BajaCalif,BajaCalif,A1,industry,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,
indr_tec2,BajaCalif,BajaCalif,A1,industry,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,
indr_tec,BajaCalifSouth,BajaCalifSouth,A1,industry,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,
indr_tec2,BajaCalifSouth,BajaCalifSouth,A1,industry,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,
indr_tec,Peninsular,Peninsular,A1,industry,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,
indr_tec2,Peninsular,Peninsular,A1,industry,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,
indr_tec,Central,Central,A2,industry,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,
indr_tec2,Central,Central,A2,industry,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,
indr_tec,Eastern,Eastern,A2,industry,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,
indr_tec2,Eastern,Eastern,A2,industry,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,
indr_tec,Western,Western,A2,industry,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,
indr_tec2,Western,Western,A2,industry,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,
indr_tec,Northwest,Northwest,A2,industry,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,
indr_tec2,Northwest,Northwest,A2,industry,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,
indr_tec,North,North,A2,industry,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,
indr_tec2,North,North,A2,industry,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,
indr_tec,Northeast,Northeast,A2,industry,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,
indr_tec2,Northeast,Northeast,A2,industry,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,
indr_tec,BajaCalif,BajaCalif,A2,industry,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,
indr_tec2,BajaCalif,BajaCalif,A2,industry,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,
indr_tec,BajaCalifSouth,BajaCalifSouth,A2,industry,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,
indr_tec2,BajaCalifSouth,BajaCalifSouth,A2,industry,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,
indr_tec,Peninsular,Peninsular,A2,industry,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,
indr_tec2,Peninsular,Peninsular,A2,industry,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,
cars_gsl,Central,Central,A1,transport,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,
cars_hyd,Central,Central,A1,transport,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,
cars_gsl,Eastern,Eastern,A1,transport,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,
cars_hyd,Eastern,Eastern,A1,transport,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,
cars_gsl,Western,Western,A1,transport,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,
cars_hyd,Western,Western,A1,transport,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,
cars_gsl,Northwest,Northwest,A1,transport,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,
cars_hyd,Northwest,Northwest,A1,transport,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,
cars_gsl,North,North,A1,transport,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,
cars_hyd,North,North,A1,transport,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,
cars_gsl,Northeast,Northeast,A1,transport,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,
cars_hyd,Northeast,Northeast,A1,transport,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,
cars_gsl,BajaCalif,BajaCalif,A1,transport,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,
cars_hyd,BajaCalif,BajaCalif,A1,transport,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,
cars_gsl,BajaCalifSouth,BajaCalifSouth,A1,transport,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,
cars_hyd,BajaCalifSouth,BajaCalifSouth,A1,transport,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,
cars_gsl,Peninsular,Peninsular,A1,transport,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,
cars_hyd,Peninsular,Peninsular,A1,transport,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,
cars_gsl,Central,Central,A2,transport,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,
cars_hyd,Central,Central,A2,transport,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,
cars_gsl,Eastern,Eastern,A2,transport,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,
cars_hyd,Eastern,Eastern,A2,transport,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,
cars_gsl,Western,Western,A2,transport,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,
cars_hyd,Western,Western,A2,transport,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,
cars_gsl,Northwest,Northwest,A2,transport,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,
cars_hyd,Northwest,Northwest,A2,transport,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,
cars_gsl,North,North,A2,transport,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,
cars_hyd,North,North,A2,transport,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,
cars_gsl,Northeast,Northeast,A2,transport,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,
cars_hyd,Northeast,Northeast,A2,transport,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,
cars_gsl,BajaCalif,BajaCalif,A2,transport,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,
cars_hyd,BajaCalif,BajaCalif,A2,transport,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,
cars_gsl,BajaCalifSouth,BajaCalifSouth,A2,transport,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,
cars_hyd,BajaCalifSouth,BajaCalifSouth,A2,transport,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,
cars_gsl,Peninsular,Peninsular,A2,transport,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,
cars_hyd,Peninsular,Peninsular,A2,transport,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,
agr_tec,Central,Central,A1,agriculture,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,
agr_tec2,Central,Central,A1,agriculture,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,
agr_tec,Eastern,Eastern,A1,agriculture,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,
agr_tec2,Eastern,Eastern,A1,agriculture,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,
agr_tec,Western,Western,A1,agriculture,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,
agr_tec2,Western,Western,A1,agriculture,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,
agr_tec,Northwest,Northwest,A1,agriculture,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,
agr_tec2,Northwest,Northwest,A1,agriculture,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,
agr_tec,North,North,A1,agriculture,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,
agr_tec2,North,North,A1,agriculture,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,
agr_tec,Northeast,Northeast,A1,agriculture,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,
agr_tec2,Northeast,Northeast,A1,agriculture,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,
agr_tec,BajaCalif,BajaCalif,A1,agriculture,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,
agr_tec2,BajaCalif,BajaCalif,A1,agriculture,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,
agr_tec,BajaCalifSouth,BajaCalifSouth,A1,agriculture,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,
agr_tec2,BajaCalifSouth,BajaCalifSouth,A1,agriculture,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,
agr_tec,Peninsular,Peninsular,A1,agriculture,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,
agr_tec2,Peninsular,Peninsular,A1,agriculture,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,
agr_tec,Central,Central,A2,agriculture,retrofit,2020,41.7978,,,,,,,,,,,,,,,,,,
agr_tec2,Central,Central,A2,agriculture,retrofit,2020,20.8989,,,,,,,,,,,,,,,,,,
agr_tec,Eastern,Eastern,A2,agriculture,retrofit,2020,162.6785,,,,,,,,,,,,,,,,,,
agr_tec2,Eastern,Eastern,A2,agriculture,retrofit,2020,81.3392,,,,,,,,,,,,,,,,,,
agr_tec,Western,Western,A2,agriculture,retrofit,2020,141.983,,,,,,,,,,,,,,,,,,
agr_tec2,Western,Western,A2,agriculture,retrofit,2020,70.9915,,,,,,,,,,,,,,,,,,
agr_tec,Northwest,Northwest,A2,agriculture,retrofit,2020,69.1868,,,,,,,,,,,,,,,,,,
agr_tec2,Northwest,Northwest,A2,agriculture,retrofit,2020,34.5934,,,,,,,,,,,,,,,,,,
agr_tec,North,North,A2,agriculture,retrofit,2020,53.5576,,,,,,,,,,,,,,,,,,
agr_tec2,North,North,A2,agriculture,retrofit,2020,26.7788,,,,,,,,,,,,,,,,,,
agr_tec,Northeast,Northeast,A2,agriculture,retrofit,2020,150.001,,,,,,,,,,,,,,,,,,
agr_tec2,Northeast,Northeast,A2,agriculture,retrofit,2020,75.0005,,,,,,,,,,,,,,,,,,
agr_tec,BajaCalif,BajaCalif,A2,agriculture,retrofit,2020,26.5659,,,,,,,,,,,,,,,,,,
agr_tec2,BajaCalif,BajaCalif,A2,agriculture,retrofit,2020,13.283,,,,,,,,,,,,,,,,,,
agr_tec,BajaCalifSouth,BajaCalifSouth,A2,agriculture,retrofit,2020,6.8212,,,,,,,,,,,,,,,,,,
agr_tec2,BajaCalifSouth,BajaCalifSouth,A2,agriculture,retrofit,2020,3.4106,,,,,,,,,,,,,,,,,,
agr_tec,Peninsular,Peninsular,A2,agriculture,retrofit,2020,21.6258,,,,,,,,,,,,,,,,,,
agr_tec2,Peninsular,Peninsular,A2,agriculture,retrofit,2020,10.8129,,,,,,,,,,,,,,,,,,
BIO,Central,Central,A1,power,agent,2020,1.1763,,,,,,,,,,,,,,,,,,
CC_GAS,Central,Central,A1,power,agent,2020,79.1749,,,,,,,,,,,,,,,,,,
HYD_LS,Central,Central,A1,power,agent,2020,11.5557,,,,,,,,,,,,,,,,,,
OC_GAS,Central,Central,A1,power,agent,2020,92.4207,,,,,,,,,,,,,,,,,,
OC_OIL,Central,Central,A1,power,agent,2020,3.1536,,,,,,,,,,,,,,,,,,
ON_WIND,Central,Central,A1,power,agent,2020,0.2085,,,,,,,,,,,,,,,,,,
PV_GND,Central,Central,A1,power,agent,2020,0.673,,,,,,,,,,,,,,,,,,
PV_SSG,Central,Central,A1,power,agent,2020,5.6293,,,,,,,,,,,,,,,,,,
BIO,Eastern,Eastern,A1,power,agent,2020,10.3142,,,,,,,,,,,,,,,,,,
CC_GAS,Eastern,Eastern,A1,power,agent,2020,168.3817,,,,,,,,,,,,,,,,,,
CC_OIL,Eastern,Eastern,A1,power,agent,2020,0.7632,,,,,,,,,,,,,,,,,,
COAL,Eastern,Eastern,A1,power,agent,2020,87.6184,,,,,,,,,,,,,,,,,,
GEOTH,Eastern,Eastern,A1,power,agent,2020,3.4059,,,,,,,,,,,,,,,,,,
HYD_LS,Eastern,Eastern,A1,power,agent,2020,203.9584,,,,,,,,,,,,,,,,,,
NUCL,Eastern,Eastern,A1,power,agent,2020,51.5298,,,,,,,,,,,,,,,,,,
OC_GAS,Eastern,Eastern,A1,power,agent,2020,45.7695,,,,,,,,,,,,,,,,,,
OC_OIL,Eastern,Eastern,A1,power,agent,2020,111.283,,,,,,,,,,,,,,,,,,
ON_WIND,Eastern,Eastern,A1,power,agent,2020,97.4784,,,,,,,,,,,,,,,,,,
PV_GND,Eastern,Eastern,A1,power,agent,2020,13.9011,,,,,,,,,,,,,,,,,,
PV_SSG,Eastern,Eastern,A1,power,agent,2020,3.1255,,,,,,,,,,,,,,,,,,
BIO,Western,Western,A1,power,agent,2020,5.7314,,,,,,,,,,,,,,,,,,
CC_GAS,Western,Western,A1,power,agent,2020,186.8183,,,,,,,,,,,,,,,,,,
CC_OIL,Western,Western,A1,power,agent,2020,22.277,,,,,,,,,,,,,,,,,,
FB,Western,Western,A1,power,agent,2020,18.2909,,,,,,,,,,,,,,,,,,
GEOTH,Western,Western,A1,power,agent,2020,9.5983,,,,,,,,,,,,,,,,,,
HYD_LS,Western,Western,A1,power,agent,2020,148.878,,,,,,,,,,,,,,,,,,
OC_GAS,Western,Western,A1,power,agent,2020,90.5392,,,,,,,,,,,,,,,,,,
OC_OIL,Western,Western,A1,power,agent,2020,8.0988,,,,,,,,,,,,,,,,,,
ON_WIND,Western,Western,A1,power,agent,2020,20.9267,,,,,,,,,,,,,,,,,,
PV_GND,Western,Western,A1,power,agent,2020,71.5088,,,,,,,,,,,,,,,,,,
PV_SSG,Western,Western,A1,power,agent,2020,14.679,,,,,,,,,,,,,,,,,,
CC_GAS,Northwest,Northwest,A1,power,agent,2020,144.9622,,,,,,,,,,,,,,,,,,
CC_OIL,Northwest,Northwest,A1,power,agent,2020,0.3027,,,,,,,,,,,,,,,,,,
HYD_LS,Northwest,Northwest,A1,power,agent,2020,29.6817,,,,,,,,,,,,,,,,,,
OC_GAS,Northwest,Northwest,A1,power,agent,2020,49.4484,,,,,,,,,,,,,,,,,,
OC_OIL,Northwest,Northwest,A1,power,agent,2020,20.2335,,,,,,,,,,,,,,,,,,
ON_WIND,Northwest,Northwest,A1,power,agent,2020,0.0631,,,,,,,,,,,,,,,,,,
PV_GND,Northwest,Northwest,A1,power,agent,2020,37.7057,,,,,,,,,,,,,,,,,,
PV_SSG,Northwest,Northwest,A1,power,agent,2020,2.4231,,,,,,,,,,,,,,,,,,
BIO,North,North,A1,power,agent,2020,0.3579,,,,,,,,,,,,,,,,,,
CC_GAS,North,North,A1,power,agent,2020,149.4627,,,,,,,,,,,,,,,,,,
COAL,North,North,A1,power,agent,2020,2.0498,,,,,,,,,,,,,,,,,,
HYD_LS,North,North,A1,power,agent,2020,1.5052,,,,,,,,,,,,,,,,,,
OC_GAS,North,North,A1,power,agent,2020,7.5081,,,,,,,,,,,,,,,,,,
OC_OIL,North,North,A1,power,agent,2020,23.3918,,,,,,,,,,,,,,,,,,
PV_GND,North,North,A1,power,agent,2020,23.7107,,,,,,,,,,,,,,,,,,
PV_SSG,North,North,A1,power,agent,2020,3.3414,,,,,,,,,,,,,,,,,,
BIO,Northeast,Northeast,A1,power,agent,2020,2.3538,,,,,,,,,,,,,,,,,,
CC_GAS,Northeast,Northeast,A1,power,agent,2020,394.4718,,,,,,,,,,,,,,,,,,
COAL,Northeast,Northeast,A1,power,agent,2020,85.7779,,,,,,,,,,,,,,,,,,
HYD_LS,Northeast,Northeast,A1,power,agent,2020,3.0748,,,,,,,,,,,,,,,,,,
OC_GAS,Northeast,Northeast,A1,power,agent,2020,67.2155,,,,,,,,,,,,,,,,,,
OC_OIL,Northeast,Northeast,A1,power,agent,2020,3.9436,,,,,,,,,,,,,,,,,,
ON_WIND,Northeast,Northeast,A1,power,agent,2020,75.9765,,,,,,,,,,,,,,,,,,
PV_GND,Northeast,Northeast,A1,power,agent,2020,26.5451,,,,,,,,,,,,,,,,,,
PV_SSG,Northeast,Northeast,A1,power,agent,2020,6.6077,,,,,,,,,,,,,,,,,,
CC_GAS,BajaCalif,BajaCalif,A1,power,agent,2020,118.0402,,,,,,,,,,,,,,,,,,
GEOTH,BajaCalif,BajaCalif,A1,power,agent,2020,18.1285,,,,,,,,,,,,,,,,,,
OC_GAS,BajaCalif,BajaCalif,A1,power,agent,2020,19.2865,,,,,,,,,,,,,,,,,,
OC_OIL,BajaCalif,BajaCalif,A1,power,agent,2020,3.2249,,,,,,,,,,,,,,,,,,
ON_WIND,BajaCalif,BajaCalif,A1,power,agent,2020,6.1811,,,,,,,,,,,,,,,,,,
PV_GND,BajaCalif,BajaCalif,A1,power,agent,2020,0.0328,,,,,,,,,,,,,,,,,,
PV_SSG,BajaCalif,BajaCalif,A1,power,agent,2020,1.2871,,,,,,,,,,,,,,,,,,
CC_OIL,BajaCalifSouth,BajaCalifSouth,A1,power,agent,2020,18.3063,,,,,,,,,,,,,,,,,,
GEOTH,BajaCalifSouth,BajaCalifSouth,A1,power,agent,2020,0.3154,,,,,,,,,,,,,,,,,,
OC_GAS,BajaCalifSouth,BajaCalifSouth,A1,power,agent,2020,1.4507,,,,,,,,,,,,,,,,,,
OC_OIL,BajaCalifSouth,BajaCalifSouth,A1,power,agent,2020,30.3209,,,,,,,,,,,,,,,,,,
PV_GND,BajaCalifSouth,BajaCalifSouth,A1,power,agent,2020,1.7651,,,,,,,,,,,,,,,,,,
PV_SSG,BajaCalifSouth,BajaCalifSouth,A1,power,agent,2020,0.5358,,,,,,,,,,,,,,,,,,
BIO,Peninsular,Peninsular,A1,power,agent,2020,2.6143,,,,,,,,,,,,,,,,,,
CC_GAS,Peninsular,Peninsular,A1,power,agent,2020,66.3811,,,,,,,,,,,,,,,,,,
CC_OIL,Peninsular,Peninsular,A1,power,agent,2020,12.0849,,,,,,,,,,,,,,,,,,
